Concurso de Estímulo ao Emprego Científico na Modalidade de Apoio Individual - 2018 /Stimulus of Scientific Employment, Individual Support 2018 Call;;;;;;;;;;;;;;
Resultados Após Avaliação /Results After Evaluation ;;;;;;;;;;;;;;
Lista ordenada da categoria de Investigador Principal / Ranked list of Principal Researchers;;;;;;;;;;;;;;
Reference/Referência;Nome Candidato/Applicant;Categoria/Contract Level;Painel de Avaliação/Evaluation Panel;Instituição Acolhimento/Host Institution;Classificação Final/Final Score;Classificação Final Consolidada/Consolidated Final Score;Recomendação para financiamento/Recommended for funding?;;;;;;;
CEECIND/03488/2018;Rute Andreia Rodrigues da Fonseca;Principal researcher;Biological Sciences AR, PR and CR;Centro Interdisciplinar de Investigação Marinha e Ambiental (CIIMAR/CIMAR);8,7;8,1;No;;;;;;;
CEECIND/00725/2018;Mário Rui Santos Gomes Pereira;Principal researcher;Biological Sciences AR, PR and CR;Instituto de Investigação e Inovação em Saúde (i3S/UP);8,6;8,1;No;;;;;;;
CEECIND/02520/2018;Igor Ivanov;Principal researcher;Physical Sciences;Centro de Física Teórica de Partículas (CFTP/IST/ULisboa);8,6;8,1;No;;;;;;;
CEECIND/02175/2018;Paolo Maffezioli;Principal researcher;Philosophy, Ethics and Religion;Centro de Filosofia (CF/ULisboa);8,7;8,1;No;;;;;;;
CEECIND/01744/2018;Celso Henrique Guerreiro Manso de Almeida;Principal researcher;Environmental Biotechnology and Engineering, Industrial Biotechnology and Other Engineering and Technologies;Centro de Estudos de Ciência Animal (CECA/ICETA-Porto/ICETA);8,6;8,1;No;;;;;;;
CEECIND/01244/2018;Guillaume Laurent Erny;Principal researcher;Chemical Sciences;Laboratório de Engenharia de Processos, Ambiente, Biotecnologia e Energia (LEPABE/FE/UP);8,9;8,1;No;;;;;;;
CEECIND/01716/2018;Ana Gonçalves Leite de Assunção;Principal researcher;Agricultural and Veterinary Sciences;Rede de Investigação em Biodiversidade e Biologia Evolutiva (InBIO/ICETA-Porto/ICETA);8,6;8,1;No;;;;;;;
CEECIND/02921/2018;VASCO TEMUDO E MELO CABRAL BARRETO;Principal researcher;Biological Sciences AR, PR and CR;iNOVA4Health - Programme in Translational Medicine (iNOVA4Health);8,7;8,1;No;;;;;;;
CEECIND/02182/2018;Andreia Cristina Matos Oliveira;Principal researcher;Health Sciences and Other Medical Sciences;Unidade de Investigação em Epidemiologia - Instituto de Saúde Pública da Universidade do Porto (ISPUP - EPIUnit/ISPUP/UP);8,5;8,1;No;;;;;;;
CEECIND/00740/2018;Ana Isabel Costa Febrero de Queiroz;Principal researcher;History and Archaeology;Instituto de História Contemporânea (IHC/FCSH/UNL);8,4;8,1;No;;;;;;;
CEECIND/02996/2018;Natasha Samko;Principal researcher;Mathematics and Computer and Information Sciences;Centro de Investigação e Desenvolvimento em Matemática e Aplicações (CIDMA/DM/UA);8,5;8,1;No;;;;;;;
CEECIND/03223/2018;Nuno Miguel Pinto de Sousa Monteiro;Principal researcher;Biological Sciences AR, PR and CR;Rede de Investigação em Biodiversidade e Biologia Evolutiva (InBIO/ICETA-Porto/ICETA);8,6;8,1;No;;;;;;;
CEECIND/00091/2018;Marina de Araujo Igreja;Principal researcher;History and Archaeology;Centro de Arqueologia (UNIARQ/FL/ULisboa);8,4;8,1;No;;;;;;;
CEECIND/03464/2018;Jakob Krebs;Principal researcher;Philosophy, Ethics and Religion;IFILNOVA- Instituto de Filosofia da Nova (IFILNOVA) (IFILNOVA/FCSH/UNL);8,7;8,1;No;;;;;;;
CEECIND/02524/2018;Erich Herrmann Rast;Principal researcher;Philosophy, Ethics and Religion;IFILNOVA- Instituto de Filosofia da Nova (IFILNOVA) (IFILNOVA/FCSH/UNL);8,7;8,1;No;;;;;;;
CEECIND/02582/2018;Michal Michalowski;Principal researcher;Physical Sciences;Instituto de Astrofísica e Ciências do Espaço (IA);8,6;8,1;No;;;;;;;
CEECIND/00668/2018;Duarte Custal Ferreira Barral;Principal researcher;Basic and Clinical Medicine;iNOVA4Health - Programme in Translational Medicine (iNOVA4Health);8,5;8,1;No;;;;;;;
CEECIND/01242/2018;Gonçalo Canelas Cardoso;Principal researcher;Biological Sciences AR, PR and CR;Rede de Investigação em Biodiversidade e Biologia Evolutiva (InBIO/ICETA-Porto/ICETA);8,7;8,1;No;;;;;;;
CEECIND/01803/2018;Filipa Alves Raimundo;Principal researcher;Media and Communications, Law and Political Science;Instituto de Ciências Sociais da Universidade de Lisboa (ICS/ULisboa);8,6;8,0;No;;;;;;;
CEECIND/04112/2018;MANUELA GIOVANETTI;Principal researcher;Agricultural and Veterinary Sciences;Centro de Ecologia, Evolução e Alterações Ambientais (CE3C/FC/ULisboa);8,5;8,0;No;;;;;;;
CEECIND/04162/2018;Polychronis Papaderos;Principal researcher;Physical Sciences;Instituto de Astrofísica e Ciências do Espaço (IA);8,5;8,0;No;;;;;;;
CEECIND/03912/2018;Maria João Lopes Gonçalves de Brito Amorim;Principal researcher;Biological Sciences AR, PR and CR;Instituto Gulbenkian de Ciência (IGC/FCG);8,5;8,0;No;;;;;;;
CEECIND/00929/2018;André Miguel Duarte Pacheco;Principal researcher;Environmental Biotechnology and Engineering, Industrial Biotechnology and Other Engineering and Technologies;Centro de Investigação Marinha e Ambiental (CIMA/FCMA/UAlg);8,5;8,0;No;;;;;;;
CEECIND/03837/2018;Andrei Nikolaevich Salak;Principal researcher;Physical Sciences;CICECO- Instituto de Materiais de Aveiro (CICECO/UA);8,5;8,0;No;;;;;;;
CEECIND/01615/2018;SONIA ALEXANDRA MORAIS RODRIGUES;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;Centro de Estudos do Ambiente e do Mar (CESAM/UA);8,6;8,0;No;;;;;;;
CEECIND/01963/2018;Tatiana Gabriela Rappoport;Principal researcher;Physical Sciences;Centro de Física (CF/UM);8,5;8,0;No;;;;;;;
CEECIND/01392/2018;Alessandro Jedlowski;Principal researcher;Sociology and Other Social Sciences;Centro em Rede de Investigação em Antropologia (CRIA);8,5;8,0;No;;;;;;;
CEECIND/01350/2018;Rodrigo Riera;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;MARE - Centro de Ciências do Mar e do Ambiente (MARE/FC/ULisboa);8,6;8,0;No;;;;;;;
CEECIND/00195/2018;Irene Flunser Pimentel;Principal researcher;History and Archaeology;Instituto de História Contemporânea (IHC/FCSH/UNL);8,3;8,0;No;;;;;;;
CEECIND/01185/2018;Sandra da Conceição Ribeiro de Carvalho;Principal researcher;Psychology and Cognitive Sciences;Centro de Investigação em Psicologia (CIPsi/UM);9,0;7,9;No;;;;;;;
CEECIND/03261/2018;José Ricardo Morais Silva Gonçalo;Principal researcher;Physical Sciences;Laboratório de Instrumentação e Física Experimental de Partículas (LIP);8,4;7,9;No;;;;;;;
CEECIND/02855/2018;Dora Cristina Vicente Batista Lyon de Castro;Principal researcher;Agricultural and Veterinary Sciences;Centro de Investigação em Agronomia, Alimentos, Ambiente e Paisagem (LEAF/ISA/ULisboa);8,4;7,9;No;;;;;;;
CEECIND/00688/2018;Diana Maria Pinto Prata;Principal researcher;Basic and Clinical Medicine;Instituto de Biofísica e Engenharia Biomédica (IBEB/FC/ULisboa);8,3;7,9;No;;;;;;;
CEECIND/00289/2018;Catarina Fernandes Barreira;Principal researcher;Arts and Other Humanities;Instituto de Estudos Medievais (IEM/FCSH/UNL);8,4;7,9;No;;;;;;;
CEECIND/03512/2018;Alexandre Ferreira Porfírio Ferreira;Principal researcher;Environmental Biotechnology and Engineering, Industrial Biotechnology and Other Engineering and Technologies;Laboratório de Processos de Separação e Reacção - Laboratório de Catálise e Materiais (LSRE-LCM/FE/UP);8,4;7,9;No;;;;;;;
CEECIND/00020/2018;Sofia Alexandra Dias Engrola;Principal researcher;Biological Sciences AR, PR and CR;Centro de Ciências do Mar (CCMar/CIMAR);8,4;7,9;No;;;;;;;
CEECIND/00786/2018;Maria Teresa Matos Ferreira Marques;Principal researcher;Philosophy, Ethics and Religion;Centro de Filosofia (CF/ULisboa);8,4;7,9;No;;;;;;;
CEECIND/00925/2018;Maria Isabel Rodrigues Correia;Principal researcher;Chemical Sciences;Centro de Química Estrutural (CQE/IST/ULisboa);8,7;7,9;No;;;;;;;
CEECIND/00846/2018;Manuel Pedro Fernandes Graça;Principal researcher;Materials Engineering and Nano-technology;Instituto de Nanoestruturas, Nanomodelação e Nanofabricação (I3N);8,3;7,9;No;;;;;;;
CEECIND/01897/2018;Liana Casquinha da Silva;Principal researcher;Biological Sciences AR, PR and CR;Instituto de Investigação do Medicamento (iMed/FF/ULisboa);8,4;7,9;No;;;;;;;
CEECIND/02381/2018;Carla Maria de Jesus Montez Fernandes;Principal researcher;Arts and Other Humanities;Centro de Investigação em Comunicação, Informação e Cultura Digital (CIC. Digital/FCSH/UNL);8,4;7,9;No;;;;;;;
CEECIND/00077/2018;Amanda Oliveira Rabelo;Principal researcher;Education;Unidade de Investigação e Desenvolvimento em Educação e Formação (UIDEF/IE/ULisboa);7,3;7,9;No;;;;;;;
CEECIND/00985/2018;Ivo Telley;Principal researcher;Biological Sciences AR, PR and CR;Instituto Gulbenkian de Ciência (IGC/FCG);8,3;7,8;No;;;;;;;
CEECIND/03950/2018;Célia Maria Dias Sales;Principal researcher;Psychology and Cognitive Sciences;Centro de Psicologia (CP/FPCE/UP);8,9;7,8;No;;;;;;;
CEECIND/00491/2018;Lianshe Fu;Principal researcher;Materials Engineering and Nano-technology;CICECO- Instituto de Materiais de Aveiro (CICECO/UA);8,2;7,8;No;;;;;;;
CEECIND/00131/2018;Andrey Morozov;Principal researcher;Physical Sciences;Laboratório de Instrumentação e Física Experimental de Partículas (LIP);8,3;7,8;No;;;;;;;
CEECIND/02784/2018;Ricardo Alexandre Rodrigues Pires;Principal researcher;Materials Engineering and Nano-technology;ICVS/3B`s - Laboratório Associado (ICVS/3B`s);8,2;7,8;No;;;;;;;
CEECIND/01843/2018;Maria Raquel Barata Godinho;Principal researcher;Biological Sciences AR, PR and CR;Rede de Investigação em Biodiversidade e Biologia Evolutiva (InBIO/ICETA-Porto/ICETA);8,3;7,8;No;;;;;;;
CEECIND/02800/2018;Guya Accornero;Principal researcher;Sociology and Other Social Sciences;Centro de Investigação e Estudos de Sociologia (CIES-IUL/ISCTE-IUL);8,2;7,8;No;;;;;;;
CEECIND/02459/2018;Sandra Manuela Rodrigues Sousa;Principal researcher;Biological Sciences AR, PR and CR;Instituto de Investigação e Inovação em Saúde (i3S/UP);8,3;7,8;No;;;;;;;
CEECIND/01684/2018;Luca Bussotti;Principal researcher;Media and Communications, Law and Political Science;Centro de Estudos Internacionais (CEI-IUL/ISCTE-IUL);8,4;7,8;No;;;;;;;
CEECIND/01123/2018;Ermelinda Maçoas;Principal researcher;Chemical Sciences;Centro de Química Estrutural (CQE/IST/ULisboa);8,6;7,8;No;;;;;;;
CEECIND/01437/2018;Chiara Gemma Pussetti;Principal researcher;Sociology and Other Social Sciences;Instituto de Ciências Sociais da Universidade de Lisboa (ICS/ULisboa);8,2;7,8;No;;;;;;;
CEECIND/04095/2018;Maria Margarida de Carvalho Negrão Serra;Principal researcher;Medical Biotechnology;iNOVA4Health - Programme in Translational Medicine (iNOVA4Health);8,4;7,8;No;;;;;;;
CEECIND/03358/2018;Andrea Picin;Principal researcher;History and Archaeology;Centro Interdisciplinar de Arqueologia e Evolução do Comportamento Humano (ICArEHB/UAlg);8,1;7,8;No;;;;;;;
CEECIND/00260/2018;Ana Cristina da Silva Fernandes;Principal researcher;Chemical Sciences;Centro de Química Estrutural (CQE/IST/ULisboa);8,6;7,8;No;;;;;;;
CEECIND/03570/2018;Silvina Martins Pereira;Principal researcher;Arts and Other Humanities;Centro de Estudos Clássicos (CEC/FL/ULisboa);8,3;7,8;No;;;;;;;
CEECIND/00261/2018;Andrei Kavaleuski;Principal researcher;Materials Engineering and Nano-technology;CICECO- Instituto de Materiais de Aveiro (CICECO/UA);8,2;7,8;No;;;;;;;
CEECIND/04015/2018;Jingzhong xiao;Principal researcher;Materials Engineering and Nano-technology;Centro de Física da Universidade de Coimbra (CFisUC/FCT/UC);8,0;7,7;No;;;;;;;
CEECIND/03781/2018;Galya Ivanova Ivanova;Principal researcher;Chemical Sciences;Laboratório Associado para a Química Verde - Tecnologias e Processos Limpos (REQUIMTE);8,5;7,7;No;;;;;;;
CEECIND/01597/2018;Armando M.C. Pires Remondes;Principal researcher;Health Sciences and Other Medical Sciences;Instituto de Medicina Molecular João lobo Antunes (IMM/FM/ULisboa);8,1;7,7;No;;;;;;;
CEECIND/02871/2018;Alexandra Maria Monteiro Gouveia;Principal researcher;Health Sciences and Other Medical Sciences;Instituto de Investigação e Inovação em Saúde (i3S/UP);8,1;7,7;No;;;;;;;
CEECIND/01853/2018;Pietro Faccioli;Principal researcher;Physical Sciences;Laboratório de Instrumentação e Física Experimental de Partículas (LIP);8,2;7,7;No;;;;;;;
CEECIND/02599/2018;Maria Teresa da Cruz Augusto Neves Petersen;Principal researcher;Basic and Clinical Medicine;Centro de Investigação em Biomedicina (CBMR);8,0;7,7;No;;;;;;;
CEECIND/00753/2018;Cristina Isabel Videira Fernandes;Principal researcher;Arts and Other Humanities;Instituto de Etnomusicologia - Centro de Estudos em Música e Dança (INET- md);8,2;7,7;No;;;;;;;
CEECIND/01916/2018;Loic Hilliou;Principal researcher;Materials Engineering and Nano-technology;Instituto de Nanoestruturas, Nanomodelação e Nanofabricação (I3N);8,1;7,7;No;;;;;;;
CEECIND/00979/2018;Christoph Friedrich Johannes Meyer;Principal researcher;Biological Sciences AR, PR and CR;Centro de Ecologia, Evolução e Alterações Ambientais (CE3C/FC/ULisboa);8,2;7,7;No;;;;;;;
CEECIND/02842/2018;Matthew Frederick Hayes;Principal researcher;Sociology and Other Social Sciences;Centro Interdisciplinar de Ciências Sociais (CICS.Nova/FCSH/UNL);8,1;7,7;No;;;;;;;
CEECIND/03359/2018;David Navas Otero;Principal researcher;Physical Sciences;Instituto de Nanociência e Nanotecnologia;8,2;7,7;No;;;;;;;
CEECIND/00347/2018;Sante Carloni;Principal researcher;Physical Sciences;Centro Multidisciplinar de Astrofísica (CENTRA/IST/ULisboa);8,2;7,7;No;;;;;;;
CEECIND/00733/2018;Hugo Manuel Lopes de Sousa;Principal researcher;Health Sciences and Other Medical Sciences;ICVS/3B`s - Laboratório Associado (ICVS/3B`s);8,1;7,7;No;;;;;;;
CEECIND/03026/2018;Carla Patricia Alves Freire Madeira da Cruz;Principal researcher;Health Sciences and Other Medical Sciences;Centro de Investigação em Ciências da Saúde (CICS/UBI);8,1;7,7;No;;;;;;;
CEECIND/01195/2018;Helena Cristina Ramos Jerónimo Dias Alves;Principal researcher;Materials Engineering and Nano-technology;CICECO- Instituto de Materiais de Aveiro (CICECO/UA);8,1;7,7;No;;;;;;;
CEECIND/02460/2018;Florence Janody;Principal researcher;Basic and Clinical Medicine;Instituto de Investigação e Inovação em Saúde (i3S/UP);8,0;7,7;No;;;;;;;
CEECIND/03890/2018;João Carlos de Campos Henriques;Principal researcher;Civil and Mechanical Engineering and Engineering Systems;Laboratório Associado de Energia, Transportes e Aeronáutica (LAETA);8,5;7,6;No;;;;;;;
CEECIND/03741/2018;Elsa Margarida Cabrita de Sousa Lechner;Principal researcher;Sociology and Other Social Sciences;Centro de Estudos Sociais (CES);8,0;7,6;No;;;;;;;
CEECIND/01533/2018;Isabel Alexandra de Almeida Canento Esteves;Principal researcher;Chemical Engineering;Laboratório Associado para a Química Verde - Tecnologias e Processos Limpos (REQUIMTE);7,8;7,6;No;;;;;;;
CEECIND/00903/2018;Patrícia Gonçalves Marques Cardoso Teixeira;Principal researcher;Biological Sciences AR, PR and CR;Centro Interdisciplinar de Investigação Marinha e Ambiental (CIIMAR/CIMAR);8,1;7,6;No;;;;;;;
CEECIND/01312/2018;Nelson José Cabaços Abrantes;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;Centro de Estudos do Ambiente e do Mar (CESAM/UA);8,2;7,6;No;;;;;;;
CEECIND/01977/2018;Gennady Kulikov;Principal researcher;Mathematics and Computer and Information Sciences;Centro de Matemática Computacional e Estocástica (CEMAT/IST/ULisboa);7,9;7,6;No;;;;;;;
CEECIND/02853/2018;Jorge Miguel Pereira de Oliveira da Silva Santos;Principal researcher;Agricultural and Veterinary Sciences;Centro de Estudos de Ciência Animal (CECA/ICETA-Porto/ICETA);8,1;7,6;No;;;;;;;
CEECIND/00762/2018;Luciano Boi;Principal researcher;Philosophy, Ethics and Religion;Centro de Filosofia da Ciência (FC/ULisboa);8,1;7,6;No;;;;;;;
CEECIND/03435/2018;Maria Manuela Duarte Guilherme;Principal researcher;Languages and Literature;Centro de Estudos Sociais (CES);8,4;7,6;No;;;;;;;
CEECIND/01052/2018;Bruno André Fernandes de Jesus da Silva Nunes;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;Centro de Estudos do Ambiente e do Mar (CESAM/UA);8,2;7,6;No;;;;;;;
CEECIND/03971/2018;Vitor Manuel Correlo da Silva;Principal researcher;Medical Engineering;ICVS/3B`s - Laboratório Associado (ICVS/3B`s);7,4;7,6;No;;;;;;;
CEECIND/01163/2018;Marcus Santos Mota;Principal researcher;Arts and Other Humanities;Centro de Estudos de Teatro (CET/FL/ULisboa);8,1;7,6;No;;;;;;;
CEECIND/03819/2018;Anatoly Shatalov;Principal researcher;Chemical Engineering;Centro de Estudos Florestais (CEF/ISA/ULisboa);7,7;7,5;No;;;;;;;
CEECIND/03062/2018;Tapas Chakraborty;Principal researcher;Agricultural and Veterinary Sciences;Centro de Ciências do Mar (CCMar/CIMAR);8,0;7,5;No;;;;;;;
CEECIND/01681/2018;Sipra Mohapatra;Principal researcher;Agricultural and Veterinary Sciences;Centro de Ciências do Mar (CCMar/CIMAR);8,0;7,5;No;;;;;;;
CEECIND/03760/2018;Pedro Alexandre Dias Soares;Principal researcher;Biological Sciences AR, PR and CR;Centro de Biologia Molecular e Ambiental (CBMA);8,0;7,5;No;;;;;;;
CEECIND/02660/2018;Filipe Adão Macedo Pereira;Principal researcher;Biological Sciences AR, PR and CR;Centro de Ecologia Funcional (CFE/FCT/UC);8,0;7,5;No;;;;;;;
CEECIND/03438/2018;Alberto Ramos;Principal researcher;Physical Sciences;Centro de Física Teórica de Partículas (CFTP/IST/ULisboa);8,0;7,5;No;;;;;;;
CEECIND/00394/2018;Luís Manuel Panchorrinha Fernandes;Principal researcher;Physical Sciences;Laboratório de Instrumentação, Engenharia Biomédica e Física da Radiação (LIBPhys);8,0;7,5;No;;;;;;;
CEECIND/00719/2018;Ana Luisa Moreira de Carvalho;Principal researcher;Biological Sciences AR, PR and CR;Unidade de Ciências Biomoleculares Aplicadas (UCIBIO);8,0;7,5;No;;;;;;;
CEECIND/01439/2018;Carlos José Amaro Parente Martins;Principal researcher;Physical Sciences;Instituto de Astrofísica e Ciências do Espaço (IA);8,0;7,5;No;;;;;;;
CEECIND/02173/2018;Bruce Forbes Milne;Principal researcher;Physical Sciences;Centro de Física da Universidade de Coimbra (CFisUC/FCT/UC);8,0;7,5;No;;;;;;;
CEECIND/02958/2018;Valentino Cattelan;Principal researcher;Sociology and Other Social Sciences;Centro em Rede de Investigação em Antropologia (CRIA);7,9;7,5;No;;;;;;;
CEECIND/02271/2018;Cleia Detry Cardoso e Cunha;Principal researcher;History and Archaeology;Centro de Arqueologia (UNIARQ/FL/ULisboa);7,8;7,5;No;;;;;;;
CEECIND/00772/2018;rui graça de castro feijó;Principal researcher;History and Archaeology;Centro de Estudos Sociais (CES);7,8;7,5;No;;;;;;;
CEECIND/02288/2018;Luis Alexandre Almeida Fernandes Cobra Branco;Principal researcher;Chemical Sciences;Laboratório Associado para a Química Verde - Tecnologias e Processos Limpos (REQUIMTE);8,3;7,5;No;;;;;;;
CEECIND/01999/2018;Alexey Karapetyants;Principal researcher;Mathematics and Computer and Information Sciences;Centro de Investigação e Desenvolvimento em Matemática e Aplicações (CIDMA/DM/UA);7,7;7,4;No;;;;;;;
CEECIND/03233/2018;Cláudia da Silva Pereira;Principal researcher;Sociology and Other Social Sciences;Instituto de Ciências Sociais da Universidade de Lisboa (ICS/ULisboa);7,8;7,4;No;;;;;;;
CEECIND/02758/2018;Daniel A. Di Liscia;Principal researcher;Philosophy, Ethics and Religion;Instituto de Filosofia (FL/UP);7,9;7,4;No;;;;;;;
CEECIND/03540/2018;Hugo Emanuel Vitorino Rebelo;Principal researcher;Biological Sciences AR, PR and CR;Rede de Investigação em Biodiversidade e Biologia Evolutiva (InBIO/ICETA-Porto/ICETA);7,9;7,4;No;;;;;;;
CEECIND/01995/2018;Maria Leonor Tavares Saúde;Principal researcher;Basic and Clinical Medicine;Instituto de Medicina Molecular João lobo Antunes (IMM/FM/ULisboa);7,7;7,4;No;;;;;;;
CEECIND/02937/2018;Toacy Cavalcante de Oliveira;Principal researcher;Mathematics and Computer and Information Sciences;Centro de Investigação em Ciências da Informação,Tecnologias e Arquitetura (ISTAR-IUL);7,7;7,4;No;;;;;;;
CEECIND/01596/2018;Paula Cristina Nunes Ferreira Calvinho;Principal researcher;Chemical Engineering;Centro de Investigação em Engenharia dos Processos Químicos e dos Produtos da Floresta (CIEPQPF/FCT/UC);7,6;7,4;No;;;;;;;
CEECIND/03629/2018;Sergio Fernando Dias Rosendo;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;Centro Interdisciplinar de Ciências Sociais (CICS.Nova/FCSH/UNL);7,9;7,3;No;;;;;;;
CEECIND/01142/2018;Sheila Pereira Khan;Principal researcher;Sociology and Other Social Sciences;Centro de Estudos de Comunicação e Sociedade (CECS/UM);7,7;7,3;No;;;;;;;
CEECIND/02465/2018;Daniela Maria Oliveira Gandra Ribeiro;Principal researcher;Biological Sciences AR, PR and CR;Instituto de Biomedicina - Aveiro (iBiMED/UA);7,8;7,3;No;;;;;;;
CEECIND/00359/2018;Ana Margarida Medrôa de Matos Hilário;Principal researcher;Biological Sciences AR, PR and CR;Centro de Estudos do Ambiente e do Mar (CESAM/UA);7,8;7,3;No;;;;;;;
CEECIND/00411/2018;Célia Maria Valente Romão;Principal researcher;Biological Sciences AR, PR and CR;Microbiologia Molecular, Estrutural e Celular (MOSTMICRO/ITQB NOVA/UNL);7,8;7,3;No;;;;;;;
CEECIND/02365/2018;Pablo Hernandez-Marrero;Principal researcher;Health Sciences and Other Medical Sciences;Centro de Estudos de Gestão e Economia (CEGE/CRP/UCP);7,6;7,3;No;;;;;;;
CEECIND/02815/2018;Alex Ferreira Magalhães;Principal researcher;Sociology and Other Social Sciences;Centro de Estudos Sociais (CES);7,7;7,3;No;;;;;;;
CEECIND/00437/2018;Maria Salomé Fernandes Martins Marivoet;Principal researcher;Sociology and Other Social Sciences;Centro de Investigação e Estudos de Sociologia (CIES-IUL/ISCTE-IUL);7,7;7,3;No;;;;;;;
CEECIND/00125/2018;Pedro Manuel Dias Neto Domingos;Principal researcher;Basic and Clinical Medicine;Microbiologia Molecular, Estrutural e Celular (MOSTMICRO/ITQB NOVA/UNL);7,6;7,3;No;;;;;;;
CEECIND/01932/2018;Raquel Alexandra Goncalves Costa;Principal researcher;Psychology and Cognitive Sciences;Unidade de Investigação em Epidemiologia - Instituto de Saúde Pública da Universidade do Porto (ISPUP - EPIUnit/ISPUP/UP);8,2;7,2;No;;;;;;;
CEECIND/00352/2018;Phan Thanh An;Principal researcher;Mathematics and Computer and Information Sciences;Centro de Matemática Computacional e Estocástica (CEMAT/IST/ULisboa);7,5;7,2;No;;;;;;;
CEECIND/03073/2018;Ugo Zilioli;Principal researcher;Philosophy, Ethics and Religion;Centro de Filosofia (CF/ULisboa);7,7;7,2;No;;;;;;;
CEECIND/02646/2018;Lydia Campbell;Principal researcher;Biological Sciences AR, PR and CR;Centro de Estudos de Recursos Naturais, Ambiente e Sociedade (CERNAS/ESAC/IPC);7,7;7,2;No;;;;;;;
CEECIND/01970/2018;Heikki Orelma;Principal researcher;Mathematics and Computer and Information Sciences;Centro de Investigação e Desenvolvimento em Matemática e Aplicações (CIDMA/DM/UA);7,5;7,2;No;;;;;;;
CEECIND/02702/2018;Oleksandr Tkach;Principal researcher;Materials Engineering and Nano-technology;CICECO- Instituto de Materiais de Aveiro (CICECO/UA);7,5;7,2;No;;;;;;;
CEECIND/00265/2018;Maximilian Kopylovich;Principal researcher;Chemical Sciences;Centro de Química Estrutural (CQE/IST/ULisboa);7,9;7,2;No;;;;;;;
CEECIND/03610/2018;Francisco José Galindo Rosales;Principal researcher;Civil and Mechanical Engineering and Engineering Systems;Centro de Estudos de Fenómenos de Transporte (FE/UP);8,1;7,2;No;;;;;;;
CEECIND/01436/2018;CAMILO AYRA PARDO;Principal researcher;Biological Sciences AR, PR and CR;Centro Interdisciplinar de Investigação Marinha e Ambiental (CIIMAR/CIMAR);7,7;7,2;No;;;;;;;
CEECIND/03027/2018;Carlos Alberto Lobo;Principal researcher;Philosophy, Ethics and Religion;Centro de Filosofia da Ciência (FC/ULisboa);7,7;7,2;No;;;;;;;
CEECIND/02907/2018;Diego Martínez Martínez;Principal researcher;Materials Engineering and Nano-technology;Centro de Física (CF/UM);7,5;7,2;No;;;;;;;
CEECIND/01375/2018;Ana Cláudia Relvas Vieira Dias;Principal researcher;Environmental Biotechnology and Engineering, Industrial Biotechnology and Other Engineering and Technologies;Centro de Estudos do Ambiente e do Mar (CESAM/UA);7,6;7,2;No;;;;;;;
CEECIND/02778/2018;Wanessa Asfora Nadler;Principal researcher;History and Archaeology;Centro de Estudos Clássicos e Humanísticos (CECH/FL/UC);7,4;7,2;No;;;;;;;
CEECIND/02948/2018;Isabel Cristina Ferreira Neves Baltazar;Principal researcher;History and Archaeology;Instituto de História Contemporânea (IHC/FCSH/UNL);7,4;7,2;No;;;;;;;
CEECIND/00429/2018;Rosa de Fátima Lopes de Freitas;Principal researcher;Biological Sciences AR, PR and CR;Centro de Estudos do Ambiente e do Mar (CESAM/UA);7,7;7,2;No;;;;;;;
CEECIND/00920/2018;Erwan GAREL;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;Centro de Investigação Marinha e Ambiental (CIMA/FCMA/UAlg);7,7;7,1;No;;;;;;;
CEECIND/01318/2018;Elin Moe;Principal researcher;Biological Sciences AR, PR and CR;Microbiologia Molecular, Estrutural e Celular (MOSTMICRO/ITQB NOVA/UNL);7,6;7,1;No;;;;;;;
CEECIND/01145/2018;Pedro Miguel Ribeiro Silva;Principal researcher;Health Sciences and Other Medical Sciences;Centro de Investigação em Actividade Física, Saúde e Lazer (CIAFEL/FADE/UP);7,4;7,1;No;;;;;;;
CEECIND/02991/2018;Susana Cristina Araújo Póvoas;Principal researcher;Health Sciences and Other Medical Sciences;Centro de Investigação em Desporto, Saúde e Desenvolvimento Humano (CIDESD);7,4;7,1;No;;;;;;;
CEECIND/00578/2018;Carla Maria Duarte Nunes;Principal researcher;Chemical Sciences;Centro de Química Estrutural (CQE/IST/ULisboa);7,8;7,1;No;;;;;;;
CEECIND/03897/2018;Joana Rodrigues Arantes da Silva;Principal researcher;Psychology and Cognitive Sciences;Centro de Investigação em Psicologia (CIPsi/UM);8,0;7,0;No;;;;;;;
CEECIND/03495/2018;Travis Blake Meador;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;Centro de Ciências do Mar (CCMar/CIMAR);7,6;7,0;No;;;;;;;
CEECIND/00553/2018;Uladzimir Khomchanka;Principal researcher;Physical Sciences;Centro de Física da Universidade de Coimbra (CFisUC/FCT/UC);7,5;7,0;No;;;;;;;
CEECIND/02400/2018;Chiara Lombardi;Principal researcher;Biological Sciences AR, PR and CR;Centro de Ciências do Mar (CCMar/CIMAR);7,5;7,0;No;;;;;;;
