Concurso de Estímulo ao Emprego Científico na Modalidade de Apoio Individual - 2018 /Stimulus of Scientific Employment, Individual Support 2018 Call;;;;;;;;;;;;;;
Resultados Após Avaliação /Results After Evaluation ;;;;;;;;;;;;;;
Lista ordenada da categoria de Investigador Principal / Ranked list of Principal Researchers;;;;;;;;;;;;;;
Reference/Referência;Nome Candidato/Applicant;Categoria/Contract Level;Painel de Avaliação/Evaluation Panel;Instituição Acolhimento/Host Institution;Classificação Final/Final Score;Classificação Final Consolidada/Consolidated Final Score;Recomendação para financiamento/Recommended for funding?;;;;;;;
CEECIND/01014/2018;Bruno Filipe Figueiras Medronho;Principal researcher;Agricultural and Veterinary Sciences;Centro para os Recursos Biológicos e Alimentação Mediterrânicos (MeditBio);9,4;8,8;Yes;;;;;;;
CEECIND/02387/2018;Iola Melissa Fernandes Duarte;Principal researcher;Medical Biotechnology;CICECO- Instituto de Materiais de Aveiro (CICECO/UA);9,5;8,8;Yes;;;;;;;
CEECIND/03877/2018;Maria de La Salete da Silva Balula;Principal researcher;Chemical Engineering;Laboratório Associado para a Química Verde - Tecnologias e Processos Limpos (REQUIMTE);9,0;8,8;Yes;;;;;;;
CEECIND/02220/2018;Ricardo Marnoto de Oliveira Campos;Principal researcher;Sociology and Other Social Sciences;Centro Interdisciplinar de Ciências Sociais (CICS.Nova/FCSH/UNL);9,3;8,8;Yes;;;;;;;
CEECIND/02170/2018;Susana Santos Lopes;Principal researcher;Basic and Clinical Medicine;iNOVA4Health - Programme in Translational Medicine (iNOVA4Health);9,2;8,8;Yes;;;;;;;
CEECIND/03482/2018;José Carlos Ribeiro Bessa;Principal researcher;Health Sciences and Other Medical Sciences;Instituto de Investigação e Inovação em Saúde (i3S/UP);9,2;8,8;Yes;;;;;;;
CEECIND/01574/2018;Li-Wei Chao;Principal researcher;Economics and Business, Social and Economic Geography;Centro de Economia e Finanças da Universidade do Porto (CEF.UP);8,8;8,8;Yes;;;;;;;
CEECIND/03451/2018;Rita Covas Monteiro;Principal researcher;Biological Sciences AR, PR and CR;Rede de Investigação em Biodiversidade e Biologia Evolutiva (InBIO/ICETA-Porto/ICETA);9,0;8,4;Yes*;;;;;;;
CEECIND/02929/2018;Telmo Alexandre Fernandes Morato Gomes;Principal researcher;Biological Sciences AR, PR and CR;MARE - Centro de Ciências do Mar e do Ambiente (MARE/FC/ULisboa);9,4;8,8;No;;;;;;;
CEECIND/03274/2018;José Carlos Alcobia Rogado de Brito;Principal researcher;Biological Sciences AR, PR and CR;Rede de Investigação em Biodiversidade e Biologia Evolutiva (InBIO/ICETA-Porto/ICETA);9,4;8,8;No;;;;;;;
